127.0.0.1, 2016-10-14 11:41:37, GET, /start, HTTP/1.1, 404, 0.001000
127.0.0.1, 2016-10-14 11:41:37, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2016-10-14 11:41:44, GET, /default, HTTP/1.1, 404, 0.001000
127.0.0.1, 2016-10-14 11:41:44, GET, /favicon.ico, HTTP/1.1, 400, 0.001000
127.0.0.1, 2016-10-14 11:41:46, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2016-10-14 11:41:47, GET, /welcome/default/index, HTTP/1.1, 200, 0.023000
127.0.0.1, 2016-10-14 11:42:49, GET, /admin, HTTP/1.1, 200, 0.394000
127.0.0.1, 2016-10-14 11:42:50, GET, /admin/static/_2.14.6/css/calendar.css, HTTP/1.1, 200, 0.045000
127.0.0.1, 2016-10-14 11:42:50, GET, /admin/static/_2.14.6/plugin_multiselect/multi-select.css, HTTP/1.1, 200, 0.033000
127.0.0.1, 2016-10-14 11:42:50, GET, /admin/static/_2.14.6/css/bootstrap_essentials.css, HTTP/1.1, 200, 0.022000
127.0.0.1, 2016-10-14 11:42:50, GET, /admin/static/_2.14.6/plugin_statebutton/css/bootstrap-switch.css, HTTP/1.1, 200, 0.032000
127.0.0.1, 2016-10-14 11:42:50, GET, /admin/static/_2.14.6/css/bootstrap.min.css, HTTP/1.1, 200, 0.034000
127.0.0.1, 2016-10-14 11:42:50, GET, /admin/static/_2.14.6/plugin_multiselect/start.js, HTTP/1.1, 200, 0.047000
127.0.0.1, 2016-10-14 11:42:50, GET, /admin/static/_2.14.6/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.014000
127.0.0.1, 2016-10-14 11:42:50, GET, /admin/static/_2.14.6/images/questions.png, HTTP/1.1, 200, 0.002000
127.0.0.1, 2016-10-14 11:42:50, GET, /favicon.ico, HTTP/1.1, 400, 0.001000
127.0.0.1, 2016-10-14 11:42:53, POST, /admin/default/index, HTTP/1.1, 303, 0.045000
127.0.0.1, 2016-10-14 11:42:53, GET, /admin/default/site, HTTP/1.1, 200, 0.066000
127.0.0.1, 2016-10-14 11:42:53, GET, /admin/static/_2.14.6/images/folder_locked.png, HTTP/1.1, 200, 0.006000
127.0.0.1, 2016-10-14 11:42:53, GET, /admin/static/_2.14.6/images/folder.png, HTTP/1.1, 200, 0.004000
127.0.0.1, 2016-10-14 11:42:53, GET, /admin/static/_2.14.6/images/glyphicons-halflings-white.png, HTTP/1.1, 200, 0.003000
127.0.0.1, 2016-10-14 11:42:53, POST, /admin/default/check_version, HTTP/1.1, 200, 0.297000
127.0.0.1, 2016-10-14 11:42:53, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2016-10-14 11:48:02, GET, /, HTTP/1.1, 303, 0.003000
127.0.0.1, 2016-10-14 11:48:02, GET, /welcome/default/index, HTTP/1.1, 200, 0.189000
127.0.0.1, 2016-10-14 11:48:07, GET, /start, HTTP/1.1, 200, 0.535000
127.0.0.1, 2016-10-14 11:48:07, GET, /start/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.002000
127.0.0.1, 2016-10-14 11:48:07, GET, /start/static/css/web2py-bootstrap3.css, HTTP/1.1, 200, 0.001000
127.0.0.1, 2016-10-14 11:48:07, GET, /start/static/css/myapp.css, HTTP/1.1, 200, 0.001000
127.0.0.1, 2016-10-14 11:48:07, GET, /start/static/font-awesome-4.6.3/css/font-awesome.min.css, HTTP/1.1, 200, 0.001000
127.0.0.1, 2016-10-14 11:48:08, GET, /start/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2016-10-14 11:48:08, GET, /start/static/js/jquery.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2016-10-14 11:48:08, GET, /start/static/css/calendar.css, HTTP/1.1, 200, 0.001000
127.0.0.1, 2016-10-14 11:48:08, GET, /start/static/js/calendar.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2016-10-14 11:48:08, GET, /start/static/js/web2py.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2016-10-14 11:48:08, GET, /start/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2016-10-14 11:48:08, GET, /start/static/js/web2py-bootstrap3.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2016-10-14 11:48:08, GET, /start/static/js/share.js, HTTP/1.1, 200, 0.002000
127.0.0.1, 2016-10-14 11:48:08, GET, /start/static/images/twitter.png, HTTP/1.1, 200, 0.002000
127.0.0.1, 2016-10-14 11:48:08, GET, /start/static/images/facebook.png, HTTP/1.1, 200, 0.002000
127.0.0.1, 2016-10-14 11:48:08, GET, /start/static/images/gplus-32.png, HTTP/1.1, 200, 0.002000
127.0.0.1, 2016-10-14 11:52:37, GET, /, HTTP/1.1, 200, 0.147000
127.0.0.1, 2016-10-14 11:52:37, GET, /start/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.002000
127.0.0.1, 2016-10-14 11:52:37, GET, /start/static/css/web2py-bootstrap3.css, HTTP/1.1, 304, 0.003000
127.0.0.1, 2016-10-14 11:52:37, GET, /start/static/css/myapp.css, HTTP/1.1, 304, 0.002000
127.0.0.1, 2016-10-14 11:52:37, GET, /start/static/font-awesome-4.6.3/css/font-awesome.min.css, HTTP/1.1, 304, 0.002000
127.0.0.1, 2016-10-14 11:52:37, GET, /start/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 304, 0.003000
127.0.0.1, 2016-10-14 11:52:37, GET, /start/static/js/jquery.js, HTTP/1.1, 304, 0.000000
127.0.0.1, 2016-10-14 11:52:37, GET, /start/static/css/calendar.css, HTTP/1.1, 304, 0.002000
127.0.0.1, 2016-10-14 11:52:37, GET, /start/static/js/calendar.js, HTTP/1.1, 304, 0.002000
127.0.0.1, 2016-10-14 11:52:37, GET, /start/static/js/web2py.js, HTTP/1.1, 304, 0.001000
127.0.0.1, 2016-10-14 11:52:37, GET, /start/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.001000
127.0.0.1, 2016-10-14 11:52:37, GET, /start/static/js/web2py-bootstrap3.js, HTTP/1.1, 304, 0.002000
127.0.0.1, 2016-10-14 11:52:37, GET, /start/static/js/share.js, HTTP/1.1, 304, 0.001000
127.0.0.1, 2016-10-14 11:52:38, GET, /start/static/images/twitter.png, HTTP/1.1, 304, 0.002000
127.0.0.1, 2016-10-14 11:52:38, GET, /start/static/images/facebook.png, HTTP/1.1, 304, 0.002000
127.0.0.1, 2016-10-14 11:52:38, GET, /start/static/images/gplus-32.png, HTTP/1.1, 304, 0.002000
127.0.0.1, 2016-10-14 11:52:45, GET, /start, HTTP/1.1, 200, 0.051000
127.0.0.1, 2016-10-14 12:16:17, GET, /, HTTP/1.1, 200, 0.238000
127.0.0.1, 2016-10-14 12:16:17, GET, /start/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.004000
127.0.0.1, 2016-10-14 12:16:17, GET, /start/static/css/web2py-bootstrap3.css, HTTP/1.1, 304, 0.004000
127.0.0.1, 2016-10-14 12:16:17, GET, /start/static/css/myapp.css, HTTP/1.1, 200, 0.003000
css, HTTP/1.1, 304, 0.002000
127.0.0.1, 2016-10-14 12:16:17, GET, /start/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 304, 0.002000
127.0.0.1, 2016-10-14 12:16:18, GET, /start/static/js/jquery.js, HTTP/1.1, 304, 0.001000
127.0.0.1, 2016-10-14 12:16:18, GET, /start/static/css/calendar.css, HTTP/1.1, 304, 0.001000
127.0.0.1, 2016-10-14 12:16:18, GET, /start/static/js/calendar.js, HTTP/1.1, 304, 0.001000
127.0.0.1, 2016-10-14 12:16:18, GET, /start/static/js/web2py.js, HTTP/1.1, 304, 0.003000
127.0.0.1, 2016-10-14 12:16:18, GET, /start/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.002000
127.0.0.1, 2016-10-14 12:16:18, GET, /start/static/js/web2py-bootstrap3.js, HTTP/1.1, 304, 0.002000
127.0.0.1, 2016-10-14 12:16:18, GET, /start/static/js/share.js, HTTP/1.1, 304, 0.001000
127.0.0.1, 2016-10-14 12:16:18, GET, /start/static/images/twitter.png, HTTP/1.1, 304, 0.002000
127.0.0.1, 2016-10-14 12:16:18, GET, /start/static/images/facebook.png, HTTP/1.1, 304, 0.002000
127.0.0.1, 2016-10-14 12:16:18, GET, /start/static/images/gplus-32.png, HTTP/1.1, 304, 0.002000
127.0.0.1, 2016-10-14 12:16:28, GET, /user/login, HTTP/1.1, 200, 0.096000
127.0.0.1, 2016-10-14 12:16:30, POST, /user/login, HTTP/1.1, 303, 0.064000
127.0.0.1, 2016-10-14 12:16:30, GET, /user/login, HTTP/1.1, 200, 0.071000
127.0.0.1, 2016-10-14 12:16:37, POST, /user/login, HTTP/1.1, 303, 0.079000
127.0.0.1, 2016-10-14 12:16:37, GET, /user/login, HTTP/1.1, 200, 0.069000
127.0.0.1, 2016-10-14 12:16:37, GET, /start/static/css/myapp.css, HTTP/1.1, 304, 0.001000
